"Notes"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	Population
	"1990"	"1990"	"Alabama"	"01"	4050055
	"1990"	"1990"	"Alaska"	"02"	553290
	"1990"	"1990"	"Arizona"	"04"	3684097
	"1990"	"1990"	"Arkansas"	"05"	2356586
	"1990"	"1990"	"California"	"06"	29959515
	"1990"	"1990"	"Colorado"	"08"	3307618
	"1990"	"1990"	"Connecticut"	"09"	3291967
	"1990"	"1990"	"Delaware"	"10"	669567
	"1990"	"1990"	"District of Columbia"	"11"	605321
	"1990"	"1990"	"Florida"	"12"	13033307
	"1990"	"1990"	"Georgia"	"13"	6512602
	"1990"	"1990"	"Hawaii"	"15"	1113491
	"1990"	"1990"	"Idaho"	"16"	1012384
	"1990"	"1990"	"Illinois"	"17"	11453316
	"1990"	"1990"	"Indiana"	"18"	5557798
	"1990"	"1990"	"Iowa"	"19"	2781018
	"1990"	"1990"	"Kansas"	"20"	2481349
	"1990"	"1990"	"Kentucky"	"21"	3694048
	"1990"	"1990"	"Louisiana"	"22"	4221532
	"1990"	"1990"	"Maine"	"23"	1231719
	"1990"	"1990"	"Maryland"	"24"	4799770
	"1990"	"1990"	"Massachusetts"	"25"	6022639
	"1990"	"1990"	"Michigan"	"26"	9311319
	"1990"	"1990"	"Minnesota"	"27"	4389857
	"1990"	"1990"	"Mississippi"	"28"	2578897
	"1990"	"1990"	"Missouri"	"29"	5128880
	"1990"	"1990"	"Montana"	"30"	800204
	"1990"	"1990"	"Nebraska"	"31"	1581660
	"1990"	"1990"	"Nevada"	"32"	1220695
	"1990"	"1990"	"New Hampshire"	"33"	1112384
	"1990"	"1990"	"New Jersey"	"34"	7762963
	"1990"	"1990"	"New Mexico"	"35"	1521574
	"1990"	"1990"	"New York"	"36"	18020784
	"1990"	"1990"	"North Carolina"	"37"	6664016
	"1990"	"1990"	"North Dakota"	"38"	637685
	"1990"	"1990"	"Ohio"	"39"	10864162
	"1990"	"1990"	"Oklahoma"	"40"	3148825
	"1990"	"1990"	"Oregon"	"41"	2860375
	"1990"	"1990"	"Pennsylvania"	"42"	11903299
	"1990"	"1990"	"Rhode Island"	"44"	1005995
	"1990"	"1990"	"South Carolina"	"45"	3501155
	"1990"	"1990"	"South Dakota"	"46"	697101
	"1990"	"1990"	"Tennessee"	"47"	4894492
	"1990"	"1990"	"Texas"	"48"	17056755
	"1990"	"1990"	"Utah"	"49"	1731223
	"1990"	"1990"	"Vermont"	"50"	564798
	"1990"	"1990"	"Virginia"	"51"	6216884
	"1990"	"1990"	"Washington"	"53"	4903043
	"1990"	"1990"	"West Virginia"	"54"	1792548
	"1990"	"1990"	"Wisconsin"	"55"	4904562
	"1990"	"1990"	"Wyoming"	"56"	453690
	"1991"	"1991"	"Alabama"	"01"	4099156
	"1991"	"1991"	"Alaska"	"02"	570193
	"1991"	"1991"	"Arizona"	"04"	3788576
	"1991"	"1991"	"Arkansas"	"05"	2383144
	"1991"	"1991"	"California"	"06"	30470736
	"1991"	"1991"	"Colorado"	"08"	3387119
	"1991"	"1991"	"Connecticut"	"09"	3302895
	"1991"	"1991"	"Delaware"	"10"	683080
	"1991"	"1991"	"District of Columbia"	"11"	600870
	"1991"	"1991"	"Florida"	"12"	13369798
	"1991"	"1991"	"Georgia"	"13"	6653005
	"1991"	"1991"	"Hawaii"	"15"	1136754
	"1991"	"1991"	"Idaho"	"16"	1041316
	"1991"	"1991"	"Illinois"	"17"	11568964
