"Notes"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Age Group"	"Age Group Code"	Population
	"1999"	"1999"	"Alabama"	"01"	"< 1 year"	"1"	58787
	"1999"	"1999"	"Alabama"	"01"	"1-4 years"	"1-4"	236153
	"1999"	"1999"	"Alabama"	"01"	"5-9 years"	"5-9"	315749
	"1999"	"1999"	"Alabama"	"01"	"10-14 years"	"10-14"	317379
	"1999"	"1999"	"Alabama"	"01"	"15-19 years"	"15-19"	327789
	"1999"	"1999"	"Alabama"	"01"	"20-24 years"	"20-24"	306182
	"1999"	"1999"	"Alabama"	"01"	"25-29 years"	"25-29"	307028
	"1999"	"1999"	"Alabama"	"01"	"30-34 years"	"30-34"	301295
	"1999"	"1999"	"Alabama"	"01"	"35-39 years"	"35-39"	342932
	"1999"	"1999"	"Alabama"	"01"	"40-44 years"	"40-44"	344000
	"1999"	"1999"	"Alabama"	"01"	"45-49 years"	"45-49"	309892
	"1999"	"1999"	"Alabama"	"01"	"50-54 years"	"50-54"	275759
	"1999"	"1999"	"Alabama"	"01"	"55-59 years"	"55-59"	220728
	"1999"	"1999"	"Alabama"	"01"	"60-64 years "	"60-64"	189814
	"1999"	"1999"	"Alabama"	"01"	"65-69 years"	"65-69"	167363
	"1999"	"1999"	"Alabama"	"01"	"70-74 years"	"70-74"	148565
	"1999"	"1999"	"Alabama"	"01"	"75-79 years"	"75-79"	117897
	"1999"	"1999"	"Alabama"	"01"	"80-84 years"	"80-84"	76876
	"1999"	"1999"	"Alabama"	"01"	"85+ years"	"85+"	65953
	"1999"	"1999"	"Alaska"	"02"	"< 1 year"	"1"	9265
	"1999"	"1999"	"Alaska"	"02"	"1-4 years"	"1-4"	38671
	"1999"	"1999"	"Alaska"	"02"	"5-9 years"	"5-9"	55181
	"1999"	"1999"	"Alaska"	"02"	"10-14 years"	"10-14"	55877
	"1999"	"1999"	"Alaska"	"02"	"15-19 years"	"15-19"	49732
	"1999"	"1999"	"Alaska"	"02"	"20-24 years"	"20-24"	39451
	"1999"	"1999"	"Alaska"	"02"	"25-29 years"	"25-29"	41687
	"1999"	"1999"	"Alaska"	"02"	"30-34 years"	"30-34"	48329
	"1999"	"1999"	"Alaska"	"02"	"35-39 years"	"35-39"	57719
	"1999"	"1999"	"Alaska"	"02"	"40-44 years"	"40-44"	59162
	"1999"	"1999"	"Alaska"	"02"	"45-49 years"	"45-49"	52540
	"1999"	"1999"	"Alaska"	"02"	"50-54 years"	"50-54"	39580
	"1999"	"1999"	"Alaska"	"02"	"55-59 years"	"55-59"	26381
	"1999"	"1999"	"Alaska"	"02"	"60-64 years "	"60-64"	16960
	"1999"	"1999"	"Alaska"	"02"	"65-69 years"	"65-69"	12219
	"1999"	"1999"	"Alaska"	"02"	"70-74 years"	"70-74"	9512
	"1999"	"1999"	"Alaska"	"02"	"75-79 years"	"75-79"	6525
	"1999"	"1999"	"Alaska"	"02"	"80-84 years"	"80-84"	3527
	"1999"	"1999"	"Alaska"	"02"	"85+ years"	"85+"	2461
	"1999"	"1999"	"Arizona"	"04"	"< 1 year"	"1"	77506
	"1999"	"1999"	"Arizona"	"04"	"1-4 years"	"1-4"	298582
	"1999"	"1999"	"Arizona"	"04"	"5-9 years"	"5-9"	380471
	"1999"	"1999"	"Arizona"	"04"	"10-14 years"	"10-14"	364017
	"1999"	"1999"	"Arizona"	"04"	"15-19 years"	"15-19"	359836
	"1999"	"1999"	"Arizona"	"04"	"20-24 years"	"20-24"	350911
	"1999"	"1999"	"Arizona"	"04"	"25-29 years"	"25-29"	371429
	"1999"	"1999"	"Arizona"	"04"	"30-34 years"	"30-34"	367109
	"1999"	"1999"	"Arizona"	"04"	"35-39 years"	"35-39"	393281
	"1999"	"1999"	"Arizona"	"04"	"40-44 years"	"40-44"	368155
	"1999"	"1999"	"Arizona"	"04"	"45-49 years"	"45-49"	322567
	"1999"	"1999"	"Arizona"	"04"	"50-54 years"	"50-54"	282200
	"1999"	"1999"	"Arizona"	"04"	"55-59 years"	"55-59"	229310
	"1999"	"1999"	"Arizona"	"04"	"60-64 years "	"60-64"	198437
	"1999"	"1999"	"Arizona"	"04"	"65-69 years"	"65-69"	188248
	"1999"	"1999"	"Arizona"	"04"	"70-74 years"	"70-74"	174466
	"1999"	"1999"	"Arizona"	"04"	"75-79 years"	"75-79"	141816
	"1999"	"1999"	"Arizona"	"04"	"80-84 years"	"80-84"	89282
	"1999"	"1999"	"Arizona"	"04"	"85+ years"	"85+"	66200
	"1999"	"1999"	"Arkansas"	"05"	"< 1 year"	"1"	35851
	"1999"	"1999"	"Arkansas"	"05"	"1-4 years"	"1-4"	145276
	"1999"	"1999"	"Arkansas"	"05"	"5-9 years"	"5-9"	188127
	"1999"	"1999"	"Arkansas"	"05"	"10-14 years"	"10-14"	193029
	"1999"	"1999"	"Arkansas"	"05"	"15-19 years"	"15-19"	200122
	"1999"	"1999"	"Arkansas"	"05"	"20-24 years"	"20-24"	179622
	"1999"	"1999"	"Arkansas"	"05"	"25-29 years"	"25-29"	176338
	"1999"	"1999"	"Arkansas"	"05"	"30-34 years"	"30-34"	174957
	"1999"	"1999"	"Arkansas"	"05"	"35-39 years"	"35-39"	199896
	"1999"	"1999"	"Arkansas"	"05"	"40-44 years"	"40-44"	194986
	"1999"	"1999"	"Arkansas"	"05"	"45-49 years"	"45-49"	178341
	"1999"	"1999"	"Arkansas"	"05"	"50-54 years"	"50-54"	161702
	"1999"	"1999"	"Arkansas"	"05"	"55-59 years"	"55-59"	135264
	"1999"	"1999"	"Arkansas"	"05"	"60-64 years "	"60-64"	115753
	"1999"	"1999"	"Arkansas"	"05"	"65-69 years"	"65-69"	104761
	"1999"	"1999"	"Arkansas"	"05"	"70-74 years"	"70-74"	93175
	"1999"	"1999"	"Arkansas"	"05"	"75-79 years"	"75-79"	76333
	"1999"	"1999"	"Arkansas"	"05"	"80-84 years"	"80-84"	52465
	"1999"	"1999"	"Arkansas"	"05"	"85+ years"	"85+"	45862
	"1999"	"1999"	"California"	"06"	"< 1 year"	"1"	485647
	"1999"	"1999"	"California"	"06"	"1-4 years"	"1-4"	2026500
	"1999"	"1999"	"California"	"06"	"5-9 years"	"5-9"	2748888
	"1999"	"1999"	"California"	"06"	"10-14 years"	"10-14"	2497890
	"1999"	"1999"	"California"	"06"	"15-19 years"	"15-19"	2403117
	"1999"	"1999"	"California"	"06"	"20-24 years"	"20-24"	2303169
	"1999"	"1999"	"California"	"06"	"25-29 years"	"25-29"	2563984
	"1999"	"1999"	"California"	"06"	"30-34 years"	"30-34"	2714559
	"1999"	"1999"	"California"	"06"	"35-39 years"	"35-39"	2830371
	"1999"	"1999"	"California"	"06"	"40-44 years"	"40-44"	2631815
	"1999"	"1999"	"California"	"06"	"45-49 years"	"45-49"	2269009
	"1999"	"1999"	"California"	"06"	"50-54 years"	"50-54"	1920301
	"1999"	"1999"	"California"	"06"	"55-59 years"	"55-59"	1415902
	"1999"	"1999"	"California"	"06"	"60-64 years "	"60-64"	1127145
	"1999"	"1999"	"California"	"06"	"65-69 years"	"65-69"	985605
	"1999"	"1999"	"California"	"06"	"70-74 years"	"70-74"	902399
	"1999"	"1999"	"California"	"06"	"75-79 years"	"75-79"	766688
	"1999"	"1999"	"California"	"06"	"80-84 years"	"80-84"	492951
	"1999"	"1999"	"California"	"06"	"85+ years"	"85+"	413264
	"1999"	"1999"	"Colorado"	"08"	"< 1 year"	"1"	60120
	"1999"	"1999"	"Colorado"	"08"	"1-4 years"	"1-4"	231098
	"1999"	"1999"	"Colorado"	"08"	"5-9 years"	"5-9"	304910
	"1999"	"1999"	"Colorado"	"08"	"10-14 years"	"10-14"	306407
	"1999"	"1999"	"Colorado"	"08"	"15-19 years"	"15-19"	302365
	"1999"	"1999"	"Colorado"	"08"	"20-24 years"	"20-24"	294419
	"1999"	"1999"	"Colorado"	"08"	"25-29 years"	"25-29"	326929
	"1999"	"1999"	"Colorado"	"08"	"30-34 years"	"30-34"	327928
	"1999"	"1999"	"Colorado"	"08"	"35-39 years"	"35-39"	371857
	"1999"	"1999"	"Colorado"	"08"	"40-44 years"	"40-44"	367106
	"1999"	"1999"	"Colorado"	"08"	"45-49 years"	"45-49"	327225
	"1999"	"1999"	"Colorado"	"08"	"50-54 years"	"50-54"	265834
	"1999"	"1999"	"Colorado"	"08"	"55-59 years"	"55-59"	186839
	"1999"	"1999"	"Colorado"	"08"	"60-64 years "	"60-64"	142207
	"1999"	"1999"	"Colorado"	"08"	"65-69 years"	"65-69"	120041
	"1999"	"1999"	"Colorado"	"08"	"70-74 years"	"70-74"	104378
	"1999"	"1999"	"Colorado"	"08"	"75-79 years"	"75-79"	84482
	"1999"	"1999"	"Colorado"	"08"	"80-84 years"	"80-84"	54621
	"1999"	"1999"	"Colorado"	"08"	"85+ years"	"85+"	47252
	"1999"	"1999"	"Connecticut"	"09"	"< 1 year"	"1"	42660
	"1999"	"1999"	"Connecticut"	"09"	"1-4 years"	"1-4"	180157
	"1999"	"1999"	"Connecticut"	"09"	"5-9 years"	"5-9"	245385
	"1999"	"1999"	"Connecticut"	"09"	"10-14 years"	"10-14"	236053
	"1999"	"1999"	"Connecticut"	"09"	"15-19 years"	"15-19"	213162
	"1999"	"1999"	"Connecticut"	"09"	"20-24 years"	"20-24"	185894
	"1999"	"1999"	"Connecticut"	"09"	"25-29 years"	"25-29"	207932
	"1999"	"1999"	"Connecticut"	"09"	"30-34 years"	"30-34"	254504
	"1999"	"1999"	"Connecticut"	"09"	"35-39 years"	"35-39"	293075
	"1999"	"1999"	"Connecticut"	"09"	"40-44 years"	"40-44"	286444
	"1999"	"1999"	"Connecticut"	"09"	"45-49 years"	"45-49"	246896
	"1999"	"1999"	"Connecticut"	"09"	"50-54 years"	"50-54"	222424
	"1999"	"1999"	"Connecticut"	"09"	"55-59 years"	"55-59"	171572
	"1999"	"1999"	"Connecticut"	"09"	"60-64 years "	"60-64"	130887
	"1999"	"1999"	"Connecticut"	"09"	"65-69 years"	"65-69"	118365
	"1999"	"1999"	"Connecticut"	"09"	"70-74 years"	"70-74"	114972
	"1999"	"1999"	"Connecticut"	"09"	"75-79 years"	"75-79"	100744
	"1999"	"1999"	"Connecticut"	"09"	"80-84 years"	"80-84"	72454
	"1999"	"1999"	"Connecticut"	"09"	"85+ years"	"85+"	62821
	"1999"	"1999"	"Delaware"	"10"	"< 1 year"	"1"	10223
	"1999"	"1999"	"Delaware"	"10"	"1-4 years"	"1-4"	40846
	"1999"	"1999"	"Delaware"	"10"	"5-9 years"	"5-9"	55768
	"1999"	"1999"	"Delaware"	"10"	"10-14 years"	"10-14"	54060
	"1999"	"1999"	"Delaware"	"10"	"15-19 years"	"15-19"	54830
	"1999"	"1999"	"Delaware"	"10"	"20-24 years"	"20-24"	50086
	"1999"	"1999"	"Delaware"	"10"	"25-29 years"	"25-29"	53292
	"1999"	"1999"	"Delaware"	"10"	"30-34 years"	"30-34"	57757
	"1999"	"1999"	"Delaware"	"10"	"35-39 years"	"35-39"	64858
	"1999"	"1999"	"Delaware"	"10"	"40-44 years"	"40-44"	61972
	"1999"	"1999"	"Delaware"	"10"	"45-49 years"	"45-49"	53351
	"1999"	"1999"	"Delaware"	"10"	"50-54 years"	"50-54"	47477
	"1999"	"1999"	"Delaware"	"10"	"55-59 years"	"55-59"	38109
	"1999"	"1999"	"Delaware"	"10"	"60-64 years "	"60-64"	31777
	"1999"	"1999"	"Delaware"	"10"	"65-69 years"	"65-69"	29791
	"1999"	"1999"	"Delaware"	"10"	"70-74 years"	"70-74"	26404
	"1999"	"1999"	"Delaware"	"10"	"75-79 years"	"75-79"	20984
	"1999"	"1999"	"Delaware"	"10"	"80-84 years"	"80-84"	13166
	"1999"	"1999"	"Delaware"	"10"	"85+ years"	"85+"	10239
	"1999"	"1999"	"District of Columbia"	"11"	"< 1 year"	"1"	6458
	"1999"	"1999"	"District of Columbia"	"11"	"1-4 years"	"1-4"	26440
	"1999"	"1999"	"District of Columbia"	"11"	"5-9 years"	"5-9"	36596
	"1999"	"1999"	"District of Columbia"	"11"	"10-14 years"	"10-14"	28544
	"1999"	"1999"	"District of Columbia"	"11"	"15-19 years"	"15-19"	36717
	"1999"	"1999"	"District of Columbia"	"11"	"20-24 years"	"20-24"	48523
	"1999"	"1999"	"District of Columbia"	"11"	"25-29 years"	"25-29"	57039
	"1999"	"1999"	"District of Columbia"	"11"	"30-34 years"	"30-34"	49639
	"1999"	"1999"	"District of Columbia"	"11"	"35-39 years"	"35-39"	46507
	"1999"	"1999"	"District of Columbia"	"11"	"40-44 years"	"40-44"	41649
	"1999"	"1999"	"District of Columbia"	"11"	"45-49 years"	"45-49"	38725
	"1999"	"1999"	"District of Columbia"	"11"	"50-54 years"	"50-54"	34514
	"1999"	"1999"	"District of Columbia"	"11"	"55-59 years"	"55-59"	27011
	"1999"	"1999"	"District of Columbia"	"11"	"60-64 years "	"60-64"	21698
	"1999"	"1999"	"District of Columbia"	"11"	"65-69 years"	"65-69"	18882
	"1999"	"1999"	"District of Columbia"	"11"	"70-74 years"	"70-74"	17679
	"1999"	"1999"	"District of Columbia"	"11"	"75-79 years"	"75-79"	14902
	"1999"	"1999"	"District of Columbia"	"11"	"80-84 years"	"80-84"	9928
	"1999"	"1999"	"District of Columbia"	"11"	"85+ years"	"85+"	8762
	"1999"	"1999"	"Florida"	"12"	"< 1 year"	"1"	187719
	"1999"	"1999"	"Florida"	"12"	"1-4 years"	"1-4"	754054
	"1999"	"1999"	"Florida"	"12"	"5-9 years"	"5-9"	1037103
	"1999"	"1999"	"Florida"	"12"	"10-14 years"	"10-14"	1032139
	"1999"	"1999"	"Florida"	"12"	"15-19 years"	"15-19"	992265
	"1999"	"1999"	"Florida"	"12"	"20-24 years"	"20-24"	907463
	"1999"	"1999"	"Florida"	"12"	"25-29 years"	"25-29"	994333
	"1999"	"1999"	"Florida"	"12"	"30-34 years"	"30-34"	1098372
	"1999"	"1999"	"Florida"	"12"	"35-39 years"	"35-39"	1260288
	"1999"	"1999"	"Florida"	"12"	"40-44 years"	"40-44"	1196187
	"1999"	"1999"	"Florida"	"12"	"45-49 years"	"45-49"	1049792
	"1999"	"1999"	"Florida"	"12"	"50-54 years"	"50-54"	942150
	"1999"	"1999"	"Florida"	"12"	"55-59 years"	"55-59"	789129
	"1999"	"1999"	"Florida"	"12"	"60-64 years "	"60-64"	720321
	"1999"	"1999"	"Florida"	"12"	"65-69 years"	"65-69"	732184
	"1999"	"1999"	"Florida"	"12"	"70-74 years"	"70-74"	730681
	"1999"	"1999"	"Florida"	"12"	"75-79 years"	"75-79"	611578
	"1999"	"1999"	"Florida"	"12"	"80-84 years"	"80-84"	400752
	"1999"	"1999"	"Florida"	"12"	"85+ years"	"85+"	322911
	"1999"	"1999"	"Georgia"	"13"	"< 1 year"	"1"	119807
	"1999"	"1999"	"Georgia"	"13"	"1-4 years"	"1-4"	463161
	"1999"	"1999"	"Georgia"	"13"	"5-9 years"	"5-9"	609017
	"1999"	"1999"	"Georgia"	"13"	"10-14 years"	"10-14"	591812
	"1999"	"1999"	"Georgia"	"13"	"15-19 years"	"15-19"	589631
	"1999"	"1999"	"Georgia"	"13"	"20-24 years"	"20-24"	574511
	"1999"	"1999"	"Georgia"	"13"	"25-29 years"	"25-29"	638268
	"1999"	"1999"	"Georgia"	"13"	"30-34 years"	"30-34"	656082
	"1999"	"1999"	"Georgia"	"13"	"35-39 years"	"35-39"	693333
	"1999"	"1999"	"Georgia"	"13"	"40-44 years"	"40-44"	642115
	"1999"	"1999"	"Georgia"	"13"	"45-49 years"	"45-49"	559425
	"1999"	"1999"	"Georgia"	"13"	"50-54 years"	"50-54"	487139
	"1999"	"1999"	"Georgia"	"13"	"55-59 years"	"55-59"	362385
	"1999"	"1999"	"Georgia"	"13"	"60-64 years "	"60-64"	280449
	"1999"	"1999"	"Georgia"	"13"	"65-69 years"	"65-69"	233760
	"1999"	"1999"	"Georgia"	"13"	"70-74 years"	"70-74"	197516
	"1999"	"1999"	"Georgia"	"13"	"75-79 years"	"75-79"	157765
	"1999"	"1999"	"Georgia"	"13"	"80-84 years"	"80-84"	103380
	"1999"	"1999"	"Georgia"	"13"	"85+ years"	"85+"	86409
	"1999"	"1999"	"Hawaii"	"15"	"< 1 year"	"1"	15523
	"1999"	"1999"	"Hawaii"	"15"	"1-4 years"	"1-4"	64222
	"1999"	"1999"	"Hawaii"	"15"	"5-9 years"	"5-9"	86991
	"1999"	"1999"	"Hawaii"	"15"	"10-14 years"	"10-14"	82785
	"1999"	"1999"	"Hawaii"	"15"	"15-19 years"	"15-19"	81529
	"1999"	"1999"	"Hawaii"	"15"	"20-24 years"	"20-24"	82715
	"1999"	"1999"	"Hawaii"	"15"	"25-29 years"	"25-29"	83523
	"1999"	"1999"	"Hawaii"	"15"	"30-34 years"	"30-34"	90661
	"1999"	"1999"	"Hawaii"	"15"	"35-39 years"	"35-39"	97285
	"1999"	"1999"	"Hawaii"	"15"	"40-44 years"	"40-44"	95723
	"1999"	"1999"	"Hawaii"	"15"	"45-49 years"	"45-49"	89327
	"1999"	"1999"	"Hawaii"	"15"	"50-54 years"	"50-54"	77930
	"1999"	"1999"	"Hawaii"	"15"	"55-59 years"	"55-59"	57934
	"1999"	"1999"	"Hawaii"	"15"	"60-64 years "	"60-64"	45708
	"1999"	"1999"	"Hawaii"	"15"	"65-69 years"	"65-69"	43010
	"1999"	"1999"	"Hawaii"	"15"	"70-74 years"	"70-74"	42452
	"1999"	"1999"	"Hawaii"	"15"	"75-79 years"	"75-79"	34556
	"1999"	"1999"	"Hawaii"	"15"	"80-84 years"	"80-84"	21518
	"1999"	"1999"	"Hawaii"	"15"	"85+ years"	"85+"	16908
	"1999"	"1999"	"Idaho"	"16"	"< 1 year"	"1"	19493
	"1999"	"1999"	"Idaho"	"16"	"1-4 years"	"1-4"	76693
	"1999"	"1999"	"Idaho"	"16"	"5-9 years"	"5-9"	99729
	"1999"	"1999"	"Idaho"	"16"	"10-14 years"	"10-14"	103979
	"1999"	"1999"	"Idaho"	"16"	"15-19 years"	"15-19"	111587
	"1999"	"1999"	"Idaho"	"16"	"20-24 years"	"20-24"	92437
	"1999"	"1999"	"Idaho"	"16"	"25-29 years"	"25-29"	82840
	"1999"	"1999"	"Idaho"	"16"	"30-34 years"	"30-34"	81995
	"1999"	"1999"	"Idaho"	"16"	"35-39 years"	"35-39"	95958
	"1999"	"1999"	"Idaho"	"16"	"40-44 years"	"40-44"	97538
