"Notes"	"Year"	"Year Code"	"State"	"State Code"	"MCD - Drug/Alcohol Induced"	"MCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	"Drug-induced causes"	"D"	327	4430141	7.4
	"1999"	"1999"	"Alabama"	"01"	"Alcohol-induced causes"	"A"	426	4430141	9.6
	"1999"	"1999"	"Alabama"	"01"	"All other non-drug and non-alcohol causes"	"O"	44746	4430141	1010.0
	"1999"	"1999"	"Alaska"	"02"	"Drug-induced causes"	"D"	115	624779	18.4
	"1999"	"1999"	"Alaska"	"02"	"Alcohol-induced causes"	"A"	156	624779	25.0
	"1999"	"1999"	"Alaska"	"02"	"All other non-drug and non-alcohol causes"	"O"	2673	624779	427.8
	"1999"	"1999"	"Arizona"	"04"	"Drug-induced causes"	"D"	984	5023823	19.6
	"1999"	"1999"	"Arizona"	"04"	"Alcohol-induced causes"	"A"	764	5023823	15.2
	"1999"	"1999"	"Arizona"	"04"	"All other non-drug and non-alcohol causes"	"O"	39921	5023823	794.6
	"1999"	"1999"	"Arkansas"	"05"	"Drug-induced causes"	"D"	216	2651860	8.1
	"1999"	"1999"	"Arkansas"	"05"	"Alcohol-induced causes"	"A"	228	2651860	8.6
	"1999"	"1999"	"Arkansas"	"05"	"All other non-drug and non-alcohol causes"	"O"	27911	2651860	1052.5
	"1999"	"1999"	"California"	"06"	"Drug-induced causes"	"D"	6287	33499204	18.8
	"1999"	"1999"	"California"	"06"	"Alcohol-induced causes"	"A"	5428	33499204	16.2
	"1999"	"1999"	"California"	"06"	"All other non-drug and non-alcohol causes"	"O"	228893	33499204	683.3
	"1999"	"1999"	"Colorado"	"08"	"Drug-induced causes"	"D"	1437	4226018	34.0
	"1999"	"1999"	"Colorado"	"08"	"Alcohol-induced causes"	"A"	989	4226018	23.4
	"1999"	"1999"	"Colorado"	"08"	"All other non-drug and non-alcohol causes"	"O"	27011	4226018	639.2
	"1999"	"1999"	"Connecticut"	"09"	"Drug-induced causes"	"D"	470	3386401	13.9
	"1999"	"1999"	"Connecticut"	"09"	"Alcohol-induced causes"	"A"	409	3386401	12.1
	"1999"	"1999"	"Connecticut"	"09"	"All other non-drug and non-alcohol causes"	"O"	29404	3386401	868.3
	"1999"	"1999"	"Delaware"	"10"	"Drug-induced causes"	"D"	101	774990	13.0
	"1999"	"1999"	"Delaware"	"10"	"Alcohol-induced causes"	"A"	146	774990	18.8
	"1999"	"1999"	"Delaware"	"10"	"All other non-drug and non-alcohol causes"	"O"	6649	774990	857.9
	"1999"	"1999"	"District of Columbia"	"11"	"Drug-induced causes"	"D"	90	570213	15.8
	"1999"	"1999"	"District of Columbia"	"11"	"Alcohol-induced causes"	"A"	115	570213	20.2
	"1999"	"1999"	"District of Columbia"	"11"	"All other non-drug and non-alcohol causes"	"O"	6045	570213	1060.1
	"1999"	"1999"	"Florida"	"12"	"Drug-induced causes"	"D"	1674	15759421	10.6
	"1999"	"1999"	"Florida"	"12"	"Alcohol-induced causes"	"A"	2063	15759421	13.1
	"1999"	"1999"	"Florida"	"12"	"All other non-drug and non-alcohol causes"	"O"	162878	15759421	1033.5
	"1999"	"1999"	"Georgia"	"13"	"Drug-induced causes"	"D"	528	8045965	6.6
	"1999"	"1999"	"Georgia"	"13"	"Alcohol-induced causes"	"A"	840	8045965	10.4
	"1999"	"1999"	"Georgia"	"13"	"All other non-drug and non-alcohol causes"	"O"	61894	8045965	769.3
	"1999"	"1999"	"Hawaii"	"15"	"Drug-induced causes"	"D"	122	1210300	10.1
	"1999"	"1999"	"Hawaii"	"15"	"Alcohol-induced causes"	"A"	103	1210300	8.5
	"1999"	"1999"	"Hawaii"	"15"	"All other non-drug and non-alcohol causes"	"O"	8263	1210300	682.7
	"1999"	"1999"	"Idaho"	"16"	"Drug-induced causes"	"D"	112	1275674	8.8
	"1999"	"1999"	"Idaho"	"16"	"Alcohol-induced causes"	"A"	126	1275674	9.9
	"1999"	"1999"	"Idaho"	"16"	"All other non-drug and non-alcohol causes"	"O"	9567	1275674	750.0
	"1999"	"1999"	"Illinois"	"17"	"Drug-induced causes"	"D"	1486	12359020	12.0
	"1999"	"1999"	"Illinois"	"17"	"Alcohol-induced causes"	"A"	1253	12359020	10.1
	"1999"	"1999"	"Illinois"	"17"	"All other non-drug and non-alcohol causes"	"O"	108304	12359020	876.3
	"1999"	"1999"	"Indiana"	"18"	"Drug-induced causes"	"D"	507	6044969	8.4
	"1999"	"1999"	"Indiana"	"18"	"Alcohol-induced causes"	"A"	568	6044969	9.4
	"1999"	"1999"	"Indiana"	"18"	"All other non-drug and non-alcohol causes"	"O"	55201	6044969	913.2
	"1999"	"1999"	"Iowa"	"19"	"Drug-induced causes"	"D"	172	2917634	5.9
	"1999"	"1999"	"Iowa"	"19"	"Alcohol-induced causes"	"A"	345	2917634	11.8
	"1999"	"1999"	"Iowa"	"19"	"All other non-drug and non-alcohol causes"	"O"	28371	2917634	972.4
	"1999"	"1999"	"Kansas"	"20"	"Drug-induced causes"	"D"	219	2678338	8.2
	"1999"	"1999"	"Kansas"	"20"	"Alcohol-induced causes"	"A"	289	2678338	10.8
	"1999"	"1999"	"Kansas"	"20"	"All other non-drug and non-alcohol causes"	"O"	24444	2678338	912.7
	"1999"	"1999"	"Kentucky"	"21"	"Drug-induced causes"	"D"	445	4018053	11.1
	"1999"	"1999"	"Kentucky"	"21"	"Alcohol-induced causes"	"A"	482	4018053	12.0
	"1999"	"1999"	"Kentucky"	"21"	"All other non-drug and non-alcohol causes"	"O"	39282	4018053	977.6
	"1999"	"1999"	"Louisiana"	"22"	"Drug-induced causes"	"D"	428	4460811	9.6
	"1999"	"1999"	"Louisiana"	"22"	"Alcohol-induced causes"	"A"	637	4460811	14.3
	"1999"	"1999"	"Louisiana"	"22"	"All other non-drug and non-alcohol causes"	"O"	41189	4460811	923.4
	"1999"	"1999"	"Maine"	"23"	"Drug-induced causes"	"D"	256	1266808	20.2
	"1999"	"1999"	"Maine"	"23"	"Alcohol-induced causes"	"A"	197	1266808	15.6
	"1999"	"1999"	"Maine"	"23"	"All other non-drug and non-alcohol causes"	"O"	12238	1266808	966.1
