"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	"Other opioids"	"T40.2"	12	4430141	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Methadone"	"T40.3"	16	4430141	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Other synthetic narcotics"	"T40.4"	11	4430141	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Cocaine"	"T40.5"	26	4430141	0.6
	"1999"	"1999"	"Alaska"	"02"	"Other opioids"	"T40.2"	11	624779	Unreliable
	"1999"	"1999"	"Alaska"	"02"	"Cocaine"	"T40.5"	13	624779	Unreliable
	"1999"	"1999"	"Arizona"	"04"	"Heroin"	"T40.1"	27	5023823	0.5
	"1999"	"1999"	"Arizona"	"04"	"Other opioids"	"T40.2"	86	5023823	1.7
	"1999"	"1999"	"Arizona"	"04"	"Methadone"	"T40.3"	22	5023823	0.4
	"1999"	"1999"	"Arizona"	"04"	"Other synthetic narcotics"	"T40.4"	23	5023823	0.5
	"1999"	"1999"	"Arizona"	"04"	"Cocaine"	"T40.5"	146	5023823	2.9
	"1999"	"1999"	"Arizona"	"04"	"Other and unspecified narcotics"	"T40.6"	103	5023823	2.1
	"1999"	"1999"	"Arkansas"	"05"	"Methadone"	"T40.3"	10	2651860	Unreliable
	"1999"	"1999"	"Arkansas"	"05"	"Cocaine"	"T40.5"	10	2651860	Unreliable
	"1999"	"1999"	"California"	"06"	"Heroin"	"T40.1"	489	33499204	1.5
	"1999"	"1999"	"California"	"06"	"Other opioids"	"T40.2"	991	33499204	3.0
	"1999"	"1999"	"California"	"06"	"Methadone"	"T40.3"	80	33499204	0.2
	"1999"	"1999"	"California"	"06"	"Other synthetic narcotics"	"T40.4"	93	33499204	0.3
	"1999"	"1999"	"California"	"06"	"Cocaine"	"T40.5"	506	33499204	1.5
	"1999"	"1999"	"California"	"06"	"Other and unspecified narcotics"	"T40.6"	349	33499204	1.0
	"1999"	"1999"	"Colorado"	"08"	"Heroin"	"T40.1"	43	4226018	1.0
	"1999"	"1999"	"Colorado"	"08"	"Other opioids"	"T40.2"	43	4226018	1.0
	"1999"	"1999"	"Colorado"	"08"	"Methadone"	"T40.3"	16	4226018	Unreliable
	"1999"	"1999"	"Colorado"	"08"	"Other synthetic narcotics"	"T40.4"	24	4226018	0.6
	"1999"	"1999"	"Colorado"	"08"	"Cocaine"	"T40.5"	111	4226018	2.6
	"1999"	"1999"	"Colorado"	"08"	"Other and unspecified narcotics"	"T40.6"	60	4226018	1.4
	"1999"	"1999"	"Connecticut"	"09"	"Heroin"	"T40.1"	98	3386401	2.9
	"1999"	"1999"	"Connecticut"	"09"	"Other opioids"	"T40.2"	12	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Methadone"	"T40.3"	14	3386401	Unreliable
	"1999"	"1999"	"Connecticut"	"09"	"Cocaine"	"T40.5"	88	3386401	2.6
	"1999"	"1999"	"Connecticut"	"09"	"Other and unspecified narcotics"	"T40.6"	31	3386401	0.9
	"1999"	"1999"	"Delaware"	"10"	"Heroin"	"T40.1"	14	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Cocaine"	"T40.5"	13	774990	Unreliable
	"1999"	"1999"	"Delaware"	"10"	"Other and unspecified narcotics"	"T40.6"	12	774990	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Heroin"	"T40.1"	19	570213	Unreliable
	"1999"	"1999"	"District of Columbia"	"11"	"Cocaine"	"T40.5"	29	570213	5.1
	"1999"	"1999"	"Florida"	"12"	"Heroin"	"T40.1"	127	15759421	0.8
	"1999"	"1999"	"Florida"	"12"	"Other opioids"	"T40.2"	163	15759421	1.0
	"1999"	"1999"	"Florida"	"12"	"Methadone"	"T40.3"	36	15759421	0.2
	"1999"	"1999"	"Florida"	"12"	"Other synthetic narcotics"	"T40.4"	59	15759421	0.4
	"1999"	"1999"	"Florida"	"12"	"Cocaine"	"T40.5"	229	15759421	1.5
	"1999"	"1999"	"Florida"	"12"	"Other and unspecified narcotics"	"T40.6"	61	15759421	0.4
	"1999"	"1999"	"Georgia"	"13"	"Other opioids"	"T40.2"	27	8045965	0.3
	"1999"	"1999"	"Georgia"	"13"	"Methadone"	"T40.3"	14	8045965	Unreliable
	"1999"	"1999"	"Georgia"	"13"	"Other synthetic narcotics"	"T40.4"	11	8045965	Unreliable
	"1999"	"1999"	"Georgia"	"13"	"Cocaine"	"T40.5"	83	8045965	1.0
	"1999"	"1999"	"Georgia"	"13"	"Other and unspecified narcotics"	"T40.6"	32	8045965	0.4
	"1999"	"1999"	"Hawaii"	"15"	"Other opioids"	"T40.2"	25	1210300	2.1
	"1999"	"1999"	"Hawaii"	"15"	"Cocaine"	"T40.5"	15	1210300	Unreliable
	"1999"	"1999"	"Idaho"	"16"	"Other opioids"	"T40.2"	11	1275674	Unreliable
	"1999"	"1999"	"Illinois"	"17"	"Heroin"	"T40.1"	31	12359020	0.3
	"1999"	"1999"	"Illinois"	"17"	"Other opioids"	"T40.2"	46	12359020	0.4
	"1999"	"1999"	"Illinois"	"17"	"Methadone"	"T40.3"	31	12359020	0.3
	"1999"	"1999"	"Illinois"	"17"	"Other synthetic narcotics"	"T40.4"	27	12359020	0.2
	"1999"	"1999"	"Illinois"	"17"	"Cocaine"	"T40.5"	499	12359020	4.0
	"1999"	"1999"	"Illinois"	"17"	"Other and unspecified narcotics"	"T40.6"	431	12359020	3.5
	"1999"	"1999"	"Indiana"	"18"	"Other opioids"	"T40.2"	18	6044969	Unreliable
	"1999"	"1999"	"Indiana"	"18"	"Cocaine"	"T40.5"	31	6044969	0.5
	"1999"	"1999"	"Indiana"	"18"	"Other and unspecified narcotics"	"T40.6"	15	6044969	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Other opioids"	"T40.2"	10	2678338	Unreliable
	"1999"	"1999"	"Kansas"	"20"	"Cocaine"	"T40.5"	11	2678338	Unreliable
	"1999"	"1999"	"Kentucky"	"21"	"Other opioids"	"T40.2"	38	4018053	0.9
	"1999"	"1999"	"Kentucky"	"21"	"Other synthetic narcotics"	"T40.4"	11	4018053	Unreliable
	"1999"	"1999"	"Kentucky"	"21"	"Cocaine"	"T40.5"	22	4018053	0.5
	"1999"	"1999"	"Louisiana"	"22"	"Other opioids"	"T40.2"	10	4460811	Unreliable
	"1999"	"1999"	"Louisiana"	"22"	"Cocaine"	"T40.5"	45	4460811	1.0
	"1999"	"1999"	"Maine"	"23"	"Other opioids"	"T40.2"	11	1266808	Unreliable
	"1999"	"1999"	"Maine"	"23"	"Other and unspecified narcotics"	"T40.6"	10	1266808	Unreliable
	"1999"	"1999"	"Maryland"	"24"	"Cocaine"	"T40.5"	143	5254509	2.7
	"1999"	"1999"	"Maryland"	"24"	"Other and unspecified narcotics"	"T40.6"	479	5254509	9.1
