"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Alabama"	"01"	39	4430141	0.9	0.9
	"1999"	"1999"	"Alaska"	"02"	28	624779	4.5	4.1
	"1999"	"1999"	"Arizona"	"04"	250	5023823	5.0	5.2
	"1999"	"1999"	"Arkansas"	"05"	29	2651860	1.1	1.1
	"1999"	"1999"	"California"	"06"	1598	33499204	4.8	4.8
	"1999"	"1999"	"Colorado"	"08"	169	4226018	4.0	3.8
	"1999"	"1999"	"Connecticut"	"09"	158	3386401	4.7	4.6
	"1999"	"1999"	"Delaware"	"10"	32	774990	4.1	4.1
	"1999"	"1999"	"District of Columbia"	"11"	28	570213	4.9	4.9
	"1999"	"1999"	"Florida"	"12"	417	15759421	2.6	2.8
	"1999"	"1999"	"Georgia"	"13"	85	8045965	1.1	1.0
	"1999"	"1999"	"Hawaii"	"15"	34	1210300	2.8	2.8
	"1999"	"1999"	"Idaho"	"16"	32	1275674	2.5	2.6
	"1999"	"1999"	"Illinois"	"17"	544	12359020	4.4	4.4
	"1999"	"1999"	"Indiana"	"18"	49	6044969	0.8	0.8
	"1999"	"1999"	"Iowa"	"19"	15	2917634	Unreliable	Unreliable
	"1999"	"1999"	"Kansas"	"20"	26	2678338	1.0	1.0
	"1999"	"1999"	"Kentucky"	"21"	56	4018053	1.4	1.4
	"1999"	"1999"	"Louisiana"	"22"	30	4460811	0.7	0.7
	"1999"	"1999"	"Maine"	"23"	32	1266808	2.5	2.5
	"1999"	"1999"	"Maryland"	"24"	503	5254509	9.6	9.1
	"1999"	"1999"	"Massachusetts"	"25"	346	6317345	5.5	5.3
	"1999"	"1999"	"Michigan"	"26"	140	9897116	1.4	1.4
	"1999"	"1999"	"Minnesota"	"27"	67	4873481	1.4	1.4
	"1999"	"1999"	"Mississippi"	"28"	16	2828408	Unreliable	Unreliable
	"1999"	"1999"	"Missouri"	"29"	106	5561948	1.9	1.9
	"1999"	"1999"	"Montana"	"30"	16	897507	Unreliable	Unreliable
	"1999"	"1999"	"Nevada"	"32"	166	1934718	8.6	8.4
	"1999"	"1999"	"New Hampshire"	"33"	41	1222014	3.4	3.2
	"1999"	"1999"	"New Jersey"	"34"	344	8359592	4.1	4.0
	"1999"	"1999"	"New Mexico"	"35"	187	1808082	10.3	10.6
	"1999"	"1999"	"New York"	"36"	664	18882725	3.5	3.5
	"1999"	"1999"	"North Carolina"	"37"	161	7949361	2.0	2.0
	"1999"	"1999"	"Ohio"	"39"	180	11335454	1.6	1.6
	"1999"	"1999"	"Oklahoma"	"40"	91	3437147	2.6	2.7
	"1999"	"1999"	"Oregon"	"41"	201	3393941	5.9	5.9
	"1999"	"1999"	"Pennsylvania"	"42"	328	12263805	2.7	2.7
	"1999"	"1999"	"Rhode Island"	"44"	36	1040402	3.5	3.5
	"1999"	"1999"	"South Carolina"	"45"	50	3974682	1.3	1.3
	"1999"	"1999"	"Tennessee"	"47"	91	5638706	1.6	1.6
	"1999"	"1999"	"Texas"	"48"	379	20558220	1.8	1.8
	"1999"	"1999"	"Utah"	"49"	145	2203482	6.6	7.5
	"1999"	"1999"	"Vermont"	"50"	17	604683	Unreliable	Unreliable
	"1999"	"1999"	"Virginia"	"51"	210	7000174	3.0	2.9
	"1999"	"1999"	"Washington"	"53"	372	5842564	6.4	6.2
	"1999"	"1999"	"West Virginia"	"54"	34	1811799	1.9	1.9
	"1999"	"1999"	"Wisconsin"	"55"	85	5332666	1.6	1.6
	"2000"	"2000"	"Alabama"	"01"	46	4447100	1.0	1.1
	"2000"	"2000"	"Alaska"	"02"	27	626932	4.3	4.0
	"2000"	"2000"	"Arizona"	"04"	249	5130632	4.9	5.1
	"2000"	"2000"	"Arkansas"	"05"	20	2673400	0.7	0.8
	"2000"	"2000"	"California"	"06"	1105	33871648	3.3	3.3
	"2000"	"2000"	"Colorado"	"08"	184	4301261	4.3	4.1
	"2000"	"2000"	"Connecticut"	"09"	173	3405565	5.1	5.1
	"2000"	"2000"	"Delaware"	"10"	36	783600	4.6	4.6
	"2000"	"2000"	"District of Columbia"	"11"	43	572059	7.5	7.7
	"2000"	"2000"	"Florida"	"12"	571	15982378	3.6	3.7
	"2000"	"2000"	"Georgia"	"13"	134	8186453	1.6	1.6
	"2000"	"2000"	"Hawaii"	"15"	31	1211537	2.6	2.5
	"2000"	"2000"	"Idaho"	"16"	29	1293953	2.2	2.3
	"2000"	"2000"	"Illinois"	"17"	629	12419293	5.1	5.1
	"2000"	"2000"	"Indiana"	"18"	47	6080485	0.8	0.8
	"2000"	"2000"	"Iowa"	"19"	19	2926324	Unreliable	Unreliable
	"2000"	"2000"	"Kansas"	"20"	23	2688418	0.9	0.9
	"2000"	"2000"	"Kentucky"	"21"	94	4041769	2.3	2.3
	"2000"	"2000"	"Louisiana"	"22"	53	4468976	1.2	1.2
	"2000"	"2000"	"Maine"	"23"	42	1274923	3.3	3.3
	"2000"	"2000"	"Maryland"	"24"	497	5296486	9.4	8.9
	"2000"	"2000"	"Massachusetts"	"25"	319	6349097	5.0	4.9
	"2000"	"2000"	"Michigan"	"26"	196	9938444	2.0	1.9
	"2000"	"2000"	"Minnesota"	"27"	69	4919479	1.4	1.4
	"2000"	"2000"	"Mississippi"	"28"	14	2844658	Unreliable	Unreliable
	"2000"	"2000"	"Missouri"	"29"	138	5595211	2.5	2.5
	"2000"	"2000"	"Montana"	"30"	13	902195	Unreliable	Unreliable
	"2000"	"2000"	"Nebraska"	"31"	16	1711263	Unreliable	Unreliable
	"2000"	"2000"	"Nevada"	"32"	203	1998257	10.2	10.0
	"2000"	"2000"	"New Hampshire"	"33"	29	1235786	2.3	2.2
	"2000"	"2000"	"New Jersey"	"34"	363	8414350	4.3	4.3
	"2000"	"2000"	"New Mexico"	"35"	190	1819046	10.4	10.6
	"2000"	"2000"	"New York"	"36"	521	18976457	2.7	2.7
	"2000"	"2000"	"North Carolina"	"37"	292	8049313	3.6	3.6
	"2000"	"2000"	"Ohio"	"39"	270	11353140	2.4	2.4
	"2000"	"2000"	"Oklahoma"	"40"	136	3450654	3.9	4.1
	"2000"	"2000"	"Oregon"	"41"	178	3421399	5.2	5.2
	"2000"	"2000"	"Pennsylvania"	"42"	330	12281054	2.7	2.8
	"2000"	"2000"	"Rhode Island"	"44"	61	1048319	5.8	5.7
	"2000"	"2000"	"South Carolina"	"45"	90	4012012	2.2	2.2
	"2000"	"2000"	"Tennessee"	"47"	103	5689283	1.8	1.8
	"2000"	"2000"	"Texas"	"48"	457	20851820	2.2	2.2
	"2000"	"2000"	"Utah"	"49"	159	2233169	7.1	7.8
	"2000"	"2000"	"Vermont"	"50"	24	608827	3.9	3.9
	"2000"	"2000"	"Virginia"	"51"	260	7078515	3.7	3.5
	"2000"	"2000"	"Washington"	"53"	374	5894121	6.3	6.2
	"2000"	"2000"	"West Virginia"	"54"	52	1808344	2.9	2.9
	"2000"	"2000"	"Wisconsin"	"55"	117	5363675	2.2	2.2
	"2000"	"2000"	"Wyoming"	"56"	10	493782	Unreliable	Unreliable
	"2001"	"2001"	"Alabama"	"01"	67	4467634	1.5	1.5
	"2001"	"2001"	"Alaska"	"02"	17	633714	Unreliable	Unreliable
	"2001"	"2001"	"Arizona"	"04"	275	5273477	5.2	5.4
	"2001"	"2001"	"Arkansas"	"05"	30	2691571	1.1	1.1
	"2001"	"2001"	"California"	"06"	605	34479458	1.8	1.8
	"2001"	"2001"	"Colorado"	"08"	204	4425687	4.6	4.4
	"2001"	"2001"	"Connecticut"	"09"	158	3432835	4.6	4.6
	"2001"	"2001"	"Delaware"	"10"	40	795699	5.0	5.0
	"2001"	"2001"	"District of Columbia"	"11"	48	574504	8.4	8.5
	"2001"	"2001"	"Florida"	"12"	890	16356966	5.4	5.6
	"2001"	"2001"	"Georgia"	"13"	199	8377038	2.4	2.3
	"2001"	"2001"	"Hawaii"	"15"	39	1225948	3.2	3.1
	"2001"	"2001"	"Idaho"	"16"	51	1319962	3.9	4.1
	"2001"	"2001"	"Illinois"	"17"	583	12488445	4.7	4.7
	"2001"	"2001"	"Indiana"	"18"	79	6127760	1.3	1.3
	"2001"	"2001"	"Iowa"	"19"	29	2931997	1.0	1.0
	"2001"	"2001"	"Kansas"	"20"	47	2702162	1.7	1.8
	"2001"	"2001"	"Kentucky"	"21"	149	4068132	3.7	3.6
	"2001"	"2001"	"Louisiana"	"22"	87	4477875	1.9	2.0
	"2001"	"2001"	"Maine"	"23"	61	1285692	4.7	4.7
	"2001"	"2001"	"Maryland"	"24"	500	5374691	9.3	9.0
	"2001"	"2001"	"Massachusetts"	"25"	519	6397634	8.1	7.9
	"2001"	"2001"	"Michigan"	"26"	211	9991120	2.1	2.1
	"2001"	"2001"	"Minnesota"	"27"	112	4982796	2.2	2.2
	"2001"	"2001"	"Mississippi"	"28"	26	2852994	0.9	0.9
	"2001"	"2001"	"Missouri"	"29"	137	5641142	2.4	2.5
	"2001"	"2001"	"Montana"	"30"	21	906961	2.3	2.4
	"2001"	"2001"	"Nebraska"	"31"	32	1719836	1.9	1.9
	"2001"	"2001"	"Nevada"	"32"	205	2098399	9.8	9.6
	"2001"	"2001"	"New Hampshire"	"33"	53	1255517	4.2	4.1
	"2001"	"2001"	"New Jersey"	"34"	419	8492671	4.9	4.8
	"2001"	"2001"	"New Mexico"	"35"	155	1831690	8.5	8.6
	"2001"	"2001"	"New York"	"36"	654	19082838	3.4	3.4
	"2001"	"2001"	"North Carolina"	"37"	342	8210122	4.2	4.1
	"2001"	"2001"	"Ohio"	"39"	356	11387404	3.1	3.1
	"2001"	"2001"	"Oklahoma"	"40"	170	3467100	4.9	5.1
	"2001"	"2001"	"Oregon"	"41"	198	3467937	5.7	5.7
