"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	554	4430141	12.5
	"1999"	"1999"	"Alaska"	"02"	96	624779	15.4
	"1999"	"1999"	"Arizona"	"04"	766	5023823	15.2
	"1999"	"1999"	"Arkansas"	"05"	336	2651860	12.7
	"1999"	"1999"	"California"	"06"	3069	33499204	9.2
	"1999"	"1999"	"Colorado"	"08"	574	4226018	13.6
	"1999"	"1999"	"Connecticut"	"09"	274	3386401	8.1
	"1999"	"1999"	"Delaware"	"10"	86	774990	11.1
	"1999"	"1999"	"District of Columbia"	"11"	30	570213	5.3
	"1999"	"1999"	"Florida"	"12"	2027	15759421	12.9
	"1999"	"1999"	"Georgia"	"13"	872	8045965	10.8
	"1999"	"1999"	"Hawaii"	"15"	136	1210300	11.2
	"1999"	"1999"	"Idaho"	"16"	181	1275674	14.2
	"1999"	"1999"	"Illinois"	"17"	1020	12359020	8.3
	"1999"	"1999"	"Indiana"	"18"	628	6044969	10.4
	"1999"	"1999"	"Iowa"	"19"	305	2917634	10.5
	"1999"	"1999"	"Kansas"	"20"	299	2678338	11.2
	"1999"	"1999"	"Kentucky"	"21"	470	4018053	11.7
	"1999"	"1999"	"Louisiana"	"22"	518	4460811	11.6
	"1999"	"1999"	"Maine"	"23"	175	1266808	13.8
	"1999"	"1999"	"Maryland"	"24"	433	5254509	8.2
	"1999"	"1999"	"Massachusetts"	"25"	431	6317345	6.8
	"1999"	"1999"	"Michigan"	"26"	974	9897116	9.8
	"1999"	"1999"	"Minnesota"	"27"	437	4873481	9.0
	"1999"	"1999"	"Mississippi"	"28"	304	2828408	10.7
	"1999"	"1999"	"Missouri"	"29"	700	5561948	12.6
	"1999"	"1999"	"Montana"	"30"	162	897507	18.0
	"1999"	"1999"	"Nebraska"	"31"	177	1704764	10.4
	"1999"	"1999"	"Nevada"	"32"	404	1934718	20.9
	"1999"	"1999"	"New Hampshire"	"33"	137	1222014	11.2
	"1999"	"1999"	"New Jersey"	"34"	563	8359592	6.7
	"1999"	"1999"	"New Mexico"	"35"	318	1808082	17.6
	"1999"	"1999"	"New York"	"36"	1195	18882725	6.3
	"1999"	"1999"	"North Carolina"	"37"	884	7949361	11.1
	"1999"	"1999"	"North Dakota"	"38"	73	644259	11.3
	"1999"	"1999"	"Ohio"	"39"	1102	11335454	9.7
	"1999"	"1999"	"Oklahoma"	"40"	492	3437147	14.3
	"1999"	"1999"	"Oregon"	"41"	477	3393941	14.1
	"1999"	"1999"	"Pennsylvania"	"42"	1284	12263805	10.5
	"1999"	"1999"	"Rhode Island"	"44"	96	1040402	9.2
